user-id,top_categories,most_played_publisher,most_played_platform,average_spending,favorite_tags
107285166,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
255706163,"Single-player, Co-op, Steam Achievements",Deep Silver,windows;linux,6.99,"Action, Open World, Comedy"
249607464,"Multi-player, In-App Purchases, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy, Multiplayer, FPS"
55112407,"Multi-player, MMO, Co-op",Changyou.com Limited,windows,0,"World War II, Free to Play, Naval"
63391345,"Multi-player, Steam Achievements, Steam Trading Cards",U.S. Army,windows,0,"FPS, Free to Play, Multiplayer, Action"
294667556,"Multi-player, Steam Achievements, Steam Trading Cards",Hi-Rez Studios,windows,12.495,"Multiplayer, Free to Play, MOBA, Open World, Stealth"
91405713,"Multi-player, Steam Trading Cards",Novalink,windows,0,"FPS, Free to Play, Early Access"
67791342,"Single-player, Steam Achievements, Partial Controller Support",2K;Feral Interactive Mac,windows;mac,19.99,"Action, Open World, Crime"
124221152,"Single-player, Multi-player, Co-op",Valve,windows,0,"Action, Free to Play, Co-op"
182491331,"Co-op, Partial Controller Support, Single-player",Digital Extremes,windows;mac;linux,0,"Free to Play, Multiplayer, World War II, Zombies, Survival"
32939936,"Multi-player, Online Multi-Player, Local Multi-Player",Valve,windows;mac;linux,7.19,"Action, FPS, Multiplayer"
165565786,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,0,"FPS, Multiplayer, Free to Play"
213858385,Single-player,PlayWay S.A.,windows;mac,14.99,"Singleplayer, Simulation, Building"
188321266,"Single-player, Online Multi-Player, Online Co-op",Smartly Dressed Games,windows;mac;linux,0,"Free to Play, Zombies, Survival"
43186470,"Multi-player, Valve Anti-Cheat enabled, Online Multi-Player",Valve,windows;mac;linux,6.123333333,"Action, FPS, Multiplayer"
115287826,"Multi-player, Steam Trading Cards, Steam Achievements",SDEnterNet,windows,0,"FPS, Multiplayer, Shooter, Free to Play, Strategy"
192976811,"Multi-player, Online Multi-Player, MMO",Freejam,windows;mac;linux,0,"Free to Play, Building, Robots"
72207742,"Single-player, Steam Trading Cards, Steam Cloud",Microsoft Studios,windows,19.99333333,"Strategy, Free to Play, Zombies, Survival, RTS"
187462362,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
204748975,"Steam Trading Cards, Steam Workshop, In-App Purchases",Smartly Dressed Games,windows;mac;linux,0,"Free to Play, Zombies, Survival, MOBA, Strategy"
119368216,"Multi-player, Steam Achievements, Single-player",Valve,windows;mac;linux,5.04125,"Multiplayer, FPS, Action, Steampunk, Puzzle"
243429504,"Single-player, Steam Achievements, Full controller support",Square Enix;Feral Interactive Mac,windows;mac,19.99,"Action, Adventure, Stealth"
39622853,"Single-player, Steam Achievements, Steam Trading Cards",Valve,windows;mac;linux,13.18810127,"Action, RPG, Open World, FPS, Strategy"
106806146,"Single-player, Steam Achievements, Steam Cloud",Valve,windows;mac;linux,8.167647059,"Strategy, Action, Indie, Co-op, MOBA"
78996406,"Single-player, Multi-player, Steam Achievements",TaleWorlds Entertainment,windows;mac;linux,14.99,"RPG, Open World, Medieval"
122328547,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
168375605,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
89867101,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,7.19,"Action, FPS, Multiplayer"
169308850,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
201945992,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
212466515,"Steam Achievements, Steam Trading Cards, Multi-player",Valve,windows;mac;linux,5.437058824,"Multiplayer, Free to Play, FPS, Action, Open World"
155069128,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,0,"FPS, Multiplayer, Free to Play"
284490460,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
207022512,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,0,"FPS, Multiplayer, Free to Play"
116617462,"Single-player, Steam Achievements, Steam Cloud",Rockstar Games,windows,11.95863636,"Action, Strategy, Open World, Multiplayer, FPS"
233269570,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
229612766,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,0,"FPS, Multiplayer, Free to Play"
11403772,"Single-player, Steam Trading Cards, Steam Achievements",Valve,windows;mac;linux,8.433648649,"Action, Indie, Strategy, FPS, RPG"
227863185,"Steam Workshop, Multi-player, Cross-Platform Multiplayer",Valve,windows,0,"Free to Play, FPS, Multiplayer, Animation & Modeling, Video Production"
254814380,"Multi-player, Steam Trading Cards, Steam Workshop",Valve,windows;mac;linux,7.434,"FPS, Multiplayer, Open World, Action, Free to Play"
82695118,"Multi-player, Steam Achievements, Partial Controller Support",CI Games,windows,2.995,"FPS, Multiplayer, Free to Play, Action, Sniper"
195322037,"Single-player, Multi-player, Co-op",SimBin,windows,1.245,"Action, Free to Play, Co-op, Simulation, Racing"
50744279,"Single-player, Steam Trading Cards, Steam Achievements",Paradox Interactive,windows,17.5984,"Strategy, Space, Simulation, Turn-Based Strategy, Fantasy"
186673066,"Single-player, Multi-player, Steam Achievements",Electronic Arts,windows,15.67125,"Open World, Survival, Multiplayer, Simulation, Action"
244855763,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
66078954,"Single-player, Steam Achievements, Steam Trading Cards",Valve,windows;mac;linux,12.26166667,"Action, Strategy, Classic, RPG, Adventure"
225289523,"Steam Trading Cards, Steam Workshop, Multi-player",Devolver Digital;Croteam,windows;mac;linux,14.995,"Free to Play, MOBA, Strategy, Sci-fi, Puzzle"
159867966,"Single-player, Multi-player, Partial Controller Support",Dovetail Games - Flight,windows,19.99,"Simulation, Flight, Realistic"
82046939,"Single-player, Steam Achievements, Steam Trading Cards",Valve,windows;mac;linux,9.902765957,"Action, FPS, Free to Play, Multiplayer, Open World"
112459307,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
111754806,"Single-player, Steam Achievements, Steam Trading Cards",Valve,windows;mac;linux,11.06735294,"Action, Multiplayer, Free to Play, FPS, Open World"
145927933,"Steam Achievements, Steam Trading Cards, Single-player",Valve,windows;mac;linux,5.334,"FPS, Multiplayer, Free to Play, Co-op, RPG"
139149185,"Multi-player, Steam Achievements, Valve Anti-Cheat enabled",Valve,windows;mac;linux,3.595,"FPS, Multiplayer, Action, Shooter"
107131506,"Multi-player, Steam Achievements, Co-op",Activision,windows;mac;linux,2.221111111,"Free to Play, Zombies, Multiplayer, FPS, Survival"
189818681,"Multi-player, Steam Trading Cards, Single-player",Valve,windows;mac;linux,2.097142857,"Free to Play, Action, Co-op, FPS, Multiplayer"
20683035,"Multi-player, Valve Anti-Cheat enabled, Online Multi-Player",Valve,windows;mac;linux,7.19,"Action, FPS, Multiplayer"
86355338,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
158944454,"Multi-player, Steam Trading Cards, Steam Achievements",Valve,windows,1.398,"Free to Play, Multiplayer, FPS, Sandbox, Funny"
65872385,"Multi-player, Co-op, Valve Anti-Cheat enabled",Valve,windows,11.0425,"FPS, Zombies, Action, Free to Play, MOBA"
38968408,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,7.19,"Action, FPS, Multiplayer"
27171538,"Single-player, Steam Trading Cards, Multi-player",2K;Aspyr Mac;Aspyr Linux,windows,17.87294118,"RPG, Open World, Strategy, Story Rich, FPS"
240405101,"Steam Trading Cards, Steam Achievements, Steam Cloud",Valve,windows;mac;linux,5.022857143,"Multiplayer, FPS, Shooter, Zombies, Free to Play"
229111581,"Multi-player, Steam Achievements, Steam Trading Cards",Nexon Korea Corporation,windows,0,"Multiplayer, Free to Play, Zombies, FPS"
185849750,"Single-player, Multi-player, Steam Achievements",2K;Aspyr Mac;Aspyr Linux,windows;mac;linux,19.99,"Strategy, Turn-Based Strategy, Turn-Based"
145722517,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
197157593,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
107383658,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
202465494,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
237156166,"Multi-player, Steam Trading Cards, In-App Purchases",Freejam,windows;mac;linux,0,"Free to Play, MOBA, Strategy, Building, Robots"
132057825,"Multi-player, Online Multi-Player, Local Multi-Player",Valve,windows;mac;linux,7.19,"Action, FPS, Multiplayer"
47453568,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
138349389,Multi-player,Freakinware Studios,windows;mac,0,"Multiplayer, Free to Play, Massively Multiplayer"
192798536,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
26753925,"Multi-player, Valve Anti-Cheat enabled, Co-op",Valve,windows;mac;linux,3.595,"Free to Play, MOBA, Strategy, Action, FPS"
12130111,"Single-player, Steam Achievements, Steam Cloud",Valve,windows;mac;linux,9.961,"FPS, Action, Indie, Sci-fi, Multiplayer"
186193491,"Single-player, Co-op, Steam Achievements",2K;Aspyr Mac;Aspyr Linux,windows;mac;linux,29.99,"Action, FPS, Co-op"
94819329,"Single-player, Online Multi-Player, Online Co-op",Smartly Dressed Games,windows;mac;linux,0,"Free to Play, Zombies, Survival"
199948316,"Single-player, Steam Cloud, Steam Achievements",Bethesda Softworks,windows,12.49,"Fantasy, RPG, Open World, First-Person, Indie"
216939765,"Single-player, Steam Achievements, Steam Trading Cards",Bethesda Softworks,windows,9.99,"Fantasy, RPG, Open World"
23096237,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,4.793333333,"FPS, Multiplayer, Action, World War II, Singleplayer"
296557510,"Multi-player, Valve Anti-Cheat enabled, Includes Source SDK",Valve,windows;mac;linux,3.99,"Action, FPS, Multiplayer"
82728085,"Single-player, Online Multi-Player, Online Co-op",Smartly Dressed Games,windows;mac;linux,0,"Free to Play, Zombies, Survival"
15305418,"Steam Achievements, Single-player, Steam Cloud",Valve,windows;mac;linux,12.156,"FPS, Action, Co-op, Multiplayer, Adventure"
215786295,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
119170251,"Single-player, Steam Achievements, Steam Trading Cards",Bethesda Softworks,windows,9.99,"Fantasy, RPG, Open World"
130303679,"Single-player, Steam Achievements",Creability,windows;mac;linux,0,"First-Person, Free to Play, Adventure"
